YEAR,Population,,,
1951,50286900,,,
1952,50429200,,,
1953,50592900,,,
1954,50764900,,,
1955,50946100,,,
1956,51183500,,,
1957,51430200,,,
1958,51652500,,,
1959,51956300,,,
1960,52372500,,,
1961,52807400,,,
1962,53291800,,,
1963,53624900,,,
1964,53990800,,,
1965,54349500,,,
1966,54642700,,,
1967,54959000,,,
1968,55213500,,,
1969,55460600,,,
1970,55632200,,,
1971,49152000,,,
1972,49327100,,,
1973,49459000,,,
1974,49467900,,,
1975,49469800,,,
1976,49459200,,,
1977,49440400,,,
1978,49442500,,,
1979,49508200,,,
1980,49603000,,,
1981,49634300,,,
1982,49581600,,,
1983,49617000,,,
1984,49713100,,,
1985,49860700,,,
1986,49998600,,,
1987,50123000,,,
1988,50253600,,,
1989,50407800,,,
1990,50560600,,,
1991,50748000,,,
1992,50875600,,,
1993,50985900,,,
1994,51116200,,,
1995,51272000,,,
1996,51410400,,,
1997,51559600,,,
1998,51720100,,,
1999,51933500,,,
2000,52140200,,,
2001,52360000,,,
2002,52602100,,,
2003,52863200,,,
2004,53152000,,,
2005,53575300,,,
2006,53950900,,,
2007,54387400,,,
2008,54841700,,,
2009,55235300,,,
2010,55692400,,,
2011,56170900,,,
2012,56567800,,,
2013,56948200,,,
2014,57408700,,,
2015,57885400,,,
2016,58381200,,,
2017,58744600,,,
2018,59115800,,,
2019,59439800,,,
2020,59720000,,,
2021,59641800,,,
2022,59980000,,,
2023,60219000,,,
,,,,
,,,,
,,,,
